document_type,owner_center,submitter_roles,required_attachments,usual_workflow,expected_turnaround,common_request_info_reasons,common_rejection_reasons,notes,status
Academic Advising Monitoring Sheet-A,CSA,program_chair; staff; faculty,Date submitted; program chair name; college; program; term/academic year; student name; expected time of graduation; concerns; action taken,Program Chair/Faculty Entry > CSA Review,Needs confirmation,Missing student name; missing term/academic year; unclear concern; missing action taken,Wrong advising sheet; private advising details submitted in wrong channel,Fields verified from SharePoint List metadata; CSA is Center for Student Advising,SharePoint metadata verified 2026-07-09
Academic Advising Monitoring Sheet-B,CSA,program_chair; staff; faculty,Date submitted; program chair name; college; program; term/academic year; student name; issues discussed; action taken,Program Chair/Faculty Entry > CSA Review,Needs confirmation,Missing issue discussed; missing action taken; unclear term,Wrong advising sheet; unrelated student record,Fields verified from SharePoint List metadata,SharePoint metadata verified 2026-07-09
Acceptance of Advisorship,CSAD,org_officer; adviser,Date submitted; organization name; purpose/objectives; academic year; adviser name; adviser email,Adviser Review > CSAD Review,Needs confirmation,Missing adviser name/email; missing organization name; missing purpose/objectives,Wrong organization document; adviser not identified,"SharePoint fields include Adviser, Adviser's Remarks, CSAD, and CSAD Remarks",SharePoint metadata verified 2026-07-09
Application for Renewal of Organization,CSAD,org_officer,Date submitted; classification; official full and short organization names; purpose/objectives; academic year/term,CSAD Review,Needs confirmation,Missing organization name; missing classification; missing academic year/term,Duplicate or unrelated organization request; organization not eligible through this workflow,SharePoint fields include CSAD and CSAD Remarks,SharePoint metadata verified 2026-07-09
Authorization to Join Student Organization,CSAD,student; org_officer,Date submitted; student name; student number; program/year; organization name; parent/guardian name,CSAD Review,Needs confirmation,Missing student number; missing parent/guardian name; missing organization name,Wrong form; incomplete authorization; unrelated file,Use generic placeholders for student and guardian data in AI examples,SharePoint metadata verified 2026-07-09
Bio-data of Elected Officers,CSAD,org_officer,Officer biodata details; organization context,CSAD Review,Needs confirmation,Missing officer information; missing organization context,Wrong document type; live officer personal data exposed unnecessarily,SharePoint list exists but exposed only minimal field metadata,Needs human confirmation
Certificate of Candidacy for Student Council Position (College),CSAD,student; org_officer,Date submitted; position; college; school year; candidate name; program/year; party if any; units; previous term TWA; applicant name; dean email; short essay,College Dean Review > SAO Electoral Board Review,Needs confirmation,Missing position; missing college; missing applicant details; missing dean email; missing short essay,Wrong election form; not for college student council; missing eligibility details,"Fields include College Dean, College Dean Remarks, SAO Electoral Board, and SAO EB Remarks",SharePoint metadata verified 2026-07-09
Fund Raising Activity Form,CSAD,org_officer,Date submitted; organization name; proposed fund raising activity; dates; times; venue; objectives; activity details; adviser email,Adviser Review > CSAD Review > CFO Review > EVP-COO Review,Needs confirmation,Missing activity dates/times; missing venue; missing adviser email; missing objectives/details,Wrong activity form; activity outside allowed workflow; budget/finance review missing,"Fields include Adviser, CSAD, CFO, and EVP-COO review remarks",SharePoint metadata verified 2026-07-09
Good Moral Character Certificate,CSAD,student,Date; student number; student name; program/strand; gender; number of copies; reason for request; contact number,SAO/CSAD Review,Needs confirmation,Missing student number; missing reason for request; missing contact number; unclear number of copies,Wrong certificate request; cannot verify identity; discipline/clearance issue requires human review,Fields verified from SharePoint; avoid exposing student identity in training examples,SharePoint metadata verified 2026-07-09
Letter of Explanation,CSAD,student,Date submitted; student infraction notice number; offense-related category; explanation; student name; student number; program/year; email; contact number,Student Submission > CSAD Review,Needs confirmation,Missing infraction notice number; missing explanation; missing student identifiers needed by reviewer,Unrelated explanation; wrong infraction reference; inappropriate or incomplete response,Disciplinary context requires careful human review,SharePoint metadata verified 2026-07-09
MCL Study Aid Form,CSFA,student; employee; staff,Date submitted; employee name/number; office/department/college; term and year applied; employee email; student name/number; program/year,HRMO Manager Review > CSAD Review > CSFA Review > SAO Director Review,Needs confirmation,Missing employee information; missing student information; missing term/year; unclear relationship,Wrong financial aid channel; eligibility cannot be confirmed by AI,"Fields include HRMO Manager, CSAD, CSFA, and SAO Director remarks",SharePoint metadata verified 2026-07-09
Off-Campus Activity Form,CSAD,org_officer; adviser,Date submitted; organizer; proposed activity; date range; time; venue; objectives; activity details; president name/email; adviser name/email,Adviser Review > CSAD Review,Needs confirmation,Missing proposed venue; missing dates/times; missing adviser or president email; incomplete activity details,Wrong activity form; off-campus details insufficient; activity outside workflow,Fields include Adviser Remarks and CSAD Remarks,SharePoint metadata verified 2026-07-09
Peer Mentor Information Form,CSA,student; peer_mentor,Student name; peer mentor information,CSA Review,Needs confirmation,Missing student/mentor information,Wrong mentoring form; sensitive details included unnecessarily,Minimal field metadata exposed; confirm official requirements,Needs human confirmation
Peer Mentoring Monitoring Sheet,CSA,peer_mentor; adviser; staff,Date submitted; peer mentor name; college; program; academic organization; term/academic year; date; mentee name; program/year; areas of concern; action taken; observed outcomes; adviser name/email,Adviser Review > CSA Recordkeeping,Needs confirmation,Missing mentee name; missing areas of concern; missing action taken; missing adviser email,Wrong monitoring sheet; sensitive student concern not appropriate for AI summary,Summarize sensitive concerns minimally,SharePoint metadata verified 2026-07-09
Peer Mentoring Session Summary,CSA,adviser; peer_mentor; staff,Date submitted; adviser name; college; academic organization; term/academic year; peer mentor name; total number of mentees; areas of concern,CSA Review,Needs confirmation,Missing total mentees; missing areas of concern; missing term/academic year,Wrong session summary; private counseling/advising details overexposed,Fields include CSA and CSA Remarks,SharePoint metadata verified 2026-07-09
Peer Mentoring Webinar (College),CSA,student,Student name; student number; mobile number; academic year; academic program; term; course; specific learning topics; agreement/consent,SAO/CSA Review,Needs confirmation,Missing student number; missing course/topic; missing agreement,Wrong mentoring request; personal contact data exposed unnecessarily,Older form metadata; confirm active use,SharePoint metadata verified 2026-07-09
Peer Tutorial/Mentoring Request Form (College),CSA,student,Student name; student number; mobile number; academic year; academic program; term; course; specific learning topics; date and time,SAO/CSA Review,Needs confirmation,Missing course; missing topic; missing date/time; missing contact number,Wrong mentoring request; request outside college mentoring scope,Fields include SAO and SAO Remarks,SharePoint metadata verified 2026-07-09
Request for Zoom Meeting Link,SAO,staff; faculty; org_officer,Date of submission; event title; meeting date; time from/to; host name; estimated participants; MCL email address; college/department,SAO Review,Needs confirmation,Missing event title; missing date/time; missing host email; missing participant estimate,Wrong request channel; non-MCL email or unsupported event context,Fields include SAO and SAO Remarks,SharePoint metadata verified 2026-07-09
Scholarship Application Form,CSFA,student,Date submitted; ID picture; scholarship title; name; gender; age; civil status; student number; program/year; addresses; mobile; email; citizenship; birthday; parent/guardian details; health/disability disclosures if required,CSFA Review,Needs confirmation,Missing scholarship title; missing student number; missing contact details; missing required personal/family data,Wrong scholarship form; eligibility cannot be determined; private data incomplete or inappropriate,Highly sensitive financial/personal data; AI must not determine eligibility,SharePoint metadata verified 2026-07-09
